"Title","URL handle","Description","Vendor","Product category","Type","Tags","Published on online store","Status","SKU","Barcode","Option1 name","Option1 value","Option1 Linked To","Option2 name","Option2 value","Option2 Linked To","Option3 name","Option3 value","Option3 Linked To","Price","Compare-at price","Cost per item","Charge tax","Tax code","Unit price total measure","Unit price total measure unit","Unit price base measure","Unit price base measure unit","Inventory tracker","Inventory quantity","Continue selling when out of stock","Weight value (grams)","Weight unit for display","Requires shipping","Fulfillment service","Product image URL","Image position","Image alt text","Variant image URL","Gift card","SEO title","SEO description","Color (product.metafields.shopify.color-pattern)","Google Shopping / Google product category","Google Shopping / Gender","Google Shopping / Age group","Google Shopping / Manufacturer part number (MPN)","Google Shopping / Ad group name","Google Shopping / Ads labels","Google Shopping / Condition","Google Shopping / Custom product","Google Shopping / Custom label 0","Google Shopping / Custom label 1","Google Shopping / Custom label 2","Google Shopping / Custom label 3","Google Shopping / Custom label 4","Metafield: custom.specifications [json]"
"","mq5000-oi-electrical-start-inverter-generator-3700-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_41766647736.jpeg","5","Mq5000 Oi Electrical Start Inverter Generator 3700 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
"Mq6500 Electrical Start Inverter Generator 5500 Max Starting Watts","mq6500-electrical-start-inverter-generator-5500-max-starting-watts","Mq6500 Electrical Start Inverter Generator 5500 Max Starting Watts","AIpower Kuwait","Generator","Gasoline Generator","Generator, Gasoline Generator, Inverter","TRUE","Active","MQ6500","","Title","Default Title","","","","","","","","180","","","TRUE","","","","","","shopify","0","DENY","82000","g","TRUE","manual","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775054812.jpg","1","Mq6500 Electrical Start Inverter Generator 5500 Max Starting Watts","","FALSE","Mq6500 Electrical Start Inverter Generator 5500 Max Starting Watts","MQ6500 Electrical Start Inverter Generator 5500 Max Starting WattsRated Watts :- 5000W Model Number :- MQ6500 Max Starting Watts :- 5500W Volts :- 230V Phase, Frequency :- Single, 50Hz/60Hz Starting Method :- Electrical Horse Power (HP) :- 15.0 HP Fuel Tank Capacity :- 26L Engine Oil Capacity :- 1.1L Noise Level :- 80d","","","","","MQ6500","Gasoline Generator","Generator","New","FALSE","","","","","","{""model_number"":""MQ6500"",""rated_watts"":""5000W"",""max_starting_watts"":""5500W"",""volts"":""230V"",""phase_frequency"":""Single"",""starting_method"":""Electrical"",""horse_power_hp"":""15.0 HP"",""fuel_tank_capacity"":""26L"",""engine_oil_capacity"":""1.1L"",""noise_level"":""80dBA @ 75%"",""socket"":""2 X 13A"",""net_weight"":""82KG"",""dimension"":""705mm X 545mm X 575mm"",""fuel_type"":""Inverter""}"
"","mq6500-electrical-start-inverter-generator-5500-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01766647714.jpeg","2","Mq6500 Electrical Start Inverter Generator 5500 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
"","mq6500-electrical-start-inverter-generator-5500-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_11766647714.jpeg","3","Mq6500 Electrical Start Inverter Generator 5500 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
"","mq6500-electrical-start-inverter-generator-5500-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_21766647715.jpeg","4","Mq6500 Electrical Start Inverter Generator 5500 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
"","mq6500-electrical-start-inverter-generator-5500-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_31766647716.jpeg","5","Mq6500 Electrical Start Inverter Generator 5500 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
"","mq6500-electrical-start-inverter-generator-5500-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_41766647716.jpeg","6","Mq6500 Electrical Start Inverter Generator 5500 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
"","mq6500-electrical-start-inverter-generator-5500-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_51766647717.jpeg","7","Mq6500 Electrical Start Inverter Generator 5500 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
"","mq6500-electrical-start-inverter-generator-5500-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_61766647718.jpeg","8","Mq6500 Electrical Start Inverter Generator 5500 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
"","mq6500-electrical-start-inverter-generator-5500-max-starting-watts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_71766647719.jpeg","9","Mq6500 Electrical Start Inverter Generator 5500 Max Starting Watts","","","","","","","","","","","","","","","","","","",""
