"Title","URL handle","Description","Vendor","Product category","Type","Tags","Published on online store","Status","SKU","Barcode","Option1 name","Option1 value","Option1 Linked To","Option2 name","Option2 value","Option2 Linked To","Option3 name","Option3 value","Option3 Linked To","Price","Compare-at price","Cost per item","Charge tax","Tax code","Unit price total measure","Unit price total measure unit","Unit price base measure","Unit price base measure unit","Inventory tracker","Inventory quantity","Continue selling when out of stock","Weight value (grams)","Weight unit for display","Requires shipping","Fulfillment service","Product image URL","Image position","Image alt text","Variant image URL","Gift card","SEO title","SEO description","Color (product.metafields.shopify.color-pattern)","Google Shopping / Google product category","Google Shopping / Gender","Google Shopping / Age group","Google Shopping / Manufacturer part number (MPN)","Google Shopping / Ad group name","Google Shopping / Ads labels","Google Shopping / Condition","Google Shopping / Custom product","Google Shopping / Custom label 0","Google Shopping / Custom label 1","Google Shopping / Custom label 2","Google Shopping / Custom label 3","Google Shopping / Custom label 4"
"","mq5000-oi-مولد-كهربائي-عاكس-ذو-تشغيل-كهربائي،-أقصى-قدرة-بدء-تشغيل-3700-واط","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_41766647736.jpeg","5","Mq5000 Oi مولد كهربائي عاكس ذو تشغيل كهربائي، أقصى قدرة بدء تشغيل 3700 واط","","","","","","","","","","","","","","","","","",""
"Mq6500 مولد كهربائي عاكس ذو تشغيل كهربائي بالمفتاح وقدرة بدء تشغيل قصوى 5500 واط","mq6500-مولد-كهربائي-عاكس-ذو-تشغيل-كهربائي-بالمفتاح-وقدرة-بدء-تشغيل-قصوى-5500-واط","شائعغير متوفرMQ6500 مولد كهربائي عاكس ذو تشغيل كهربائي بالمفتاح وقدرة بدء تشغيل قصوى 5500 واطالقدرة المقدرة: ٥٠٠٠ واط رقم الموديل: MQ6500 أقصى قدرة بدء التشغيل: ٥٥٠٠ واط الجهد: ٢٣٠ فولت الطور، التردد: أحادي، ٥٠/٦٠ هرتز طريقة التشغيل: كهربائية القدرة الحصانية: ١٥ حصانًا سعة خزان الوقود: ٢٦ لترًا سعة زيت المحرك: ١.١ لتر مستوى الضوضاء: ٨٠ ديسيبل عند ٧٥٪ المقبس: ٢ × ١٣ أمبير الوزن الصافي: ٨٢ كجم الأبعاد: ٧٠٥ × ٥٤٥ × ٥٧٥ مموقت التحضير 1 يوم180.000 د.ك+ أضف إلى السلة","AIpower Kuwait","مولدات","مولد بنزين","مولدات, مولد بنزين","TRUE","Active","AIP-12","","Title","Default Title","","","","","","","","","","","TRUE","","","","","","shopify","100","DENY","","g","TRUE","manual","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775054812.jpg","1","Mq6500 مولد كهربائي عاكس ذو تشغيل كهربائي بالمفتاح وقدرة بدء تشغيل قصوى 5500 واط","","FALSE","Mq6500 مولد كهربائي عاكس ذو تشغيل كهربائي بالمفتاح وقدرة بدء تشغيل قصوى 5500 واط","شائعغير متوفرMQ6500 مولد كهربائي عاكس ذو تشغيل كهربائي بالمفتاح وقدرة بدء تشغيل قصوى 5500 واطالقدرة المقدرة: ٥٠٠٠ واط رقم الموديل: MQ6500 أقصى قدرة بدء التشغيل: ٥٥٠٠ واط الجهد: ٢٣٠ فولت الطور، التردد: أحادي، ٥٠/٦٠ هرتز طريقة التشغيل: كهربائية القدرة الحصانية: ١٥ حصانًا سعة خزان الوقود: ٢٦ لترًا سعة زيت المحرك: ١.١ لتر ","","","","","","مولد بنزين","مولدات","New","FALSE","","","","",""
"","mq6500-مولد-كهربائي-عاكس-ذو-تشغيل-كهربائي-بالمفتاح-وقدرة-بدء-تشغيل-قصوى-5500-واط","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01766647714.jpeg","2","Mq6500 مولد كهربائي عاكس ذو تشغيل كهربائي بالمفتاح وقدرة بدء تشغيل قصوى 5500 واط","","","","","","","","","","","","","","","","","",""
"","mq6500-مولد-كهربائي-عاكس-ذو-تشغيل-كهربائي-بالمفتاح-وقدرة-بدء-تشغيل-قصوى-5500-واط","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_11766647714.jpeg","3","Mq6500 مولد كهربائي عاكس ذو تشغيل كهربائي بالمفتاح وقدرة بدء تشغيل قصوى 5500 واط","","","","","","","","","","","","","","","","","",""
"","mq6500-مولد-كهربائي-عاكس-ذو-تشغيل-كهربائي-بالمفتاح-وقدرة-بدء-تشغيل-قصوى-5500-واط","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_21766647715.jpeg","4","Mq6500 مولد كهربائي عاكس ذو تشغيل كهربائي بالمفتاح وقدرة بدء تشغيل قصوى 5500 واط","","","","","","","","","","","","","","","","","",""
"","mq6500-مولد-كهربائي-عاكس-ذو-تشغيل-كهربائي-بالمفتاح-وقدرة-بدء-تشغيل-قصوى-5500-واط","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_31766647716.jpeg","5","Mq6500 مولد كهربائي عاكس ذو تشغيل كهربائي بالمفتاح وقدرة بدء تشغيل قصوى 5500 واط","","","","","","","","","","","","","","","","","",""
"","mq6500-مولد-كهربائي-عاكس-ذو-تشغيل-كهربائي-بالمفتاح-وقدرة-بدء-تشغيل-قصوى-5500-واط","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_41766647716.jpeg","6","Mq6500 مولد كهربائي عاكس ذو تشغيل كهربائي بالمفتاح وقدرة بدء تشغيل قصوى 5500 واط","","","","","","","","","","","","","","","","","",""
"","mq6500-مولد-كهربائي-عاكس-ذو-تشغيل-كهربائي-بالمفتاح-وقدرة-بدء-تشغيل-قصوى-5500-واط","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_51766647717.jpeg","7","Mq6500 مولد كهربائي عاكس ذو تشغيل كهربائي بالمفتاح وقدرة بدء تشغيل قصوى 5500 واط","","","","","","","","","","","","","","","","","",""
"","mq6500-مولد-كهربائي-عاكس-ذو-تشغيل-كهربائي-بالمفتاح-وقدرة-بدء-تشغيل-قصوى-5500-واط","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_61766647718.jpeg","8","Mq6500 مولد كهربائي عاكس ذو تشغيل كهربائي بالمفتاح وقدرة بدء تشغيل قصوى 5500 واط","","","","","","","","","","","","","","","","","",""
"","mq6500-مولد-كهربائي-عاكس-ذو-تشغيل-كهربائي-بالمفتاح-وقدرة-بدء-تشغيل-قصوى-5500-واط","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_71766647719.jpeg","9","Mq6500 مولد كهربائي عاكس ذو تشغيل كهربائي بالمفتاح وقدرة بدء تشغيل قصوى 5500 واط","","","","","","","","","","","","","","","","","",""
"","mq6500-مولد-كهربائي-عاكس-ذو-تشغيل-كهربائي-بالمفتاح-وقدرة-بدء-تشغيل-قصوى-5500-واط","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_81766647719.jpeg","10","Mq6500 مولد كهربائي عاكس ذو تشغيل كهربائي بالمفتاح وقدرة بدء تشغيل قصوى 5500 واط","","","","","","","","","","","","","","","","","",""
"Mq7500 Oi مولد كهربائي عاكس ذو تشغيل بالمفتاح وقدرة بدء تشغيل قصوى 5500 واط","mq7500-oi-مولد-كهربائي-عاكس-ذو-تشغيل-بالمفتاح-وقدرة-بدء-تشغيل-قصوى-5500-واط","غير متوفرMQ7500-OI مولد كهربائي عاكس ذو تشغيل بالمفتاح وقدرة بدء تشغيل قصوى 5500 واطالقدرة المقدرة: ٥٠٠٠ واط أقصى قدرة بدء التشغيل: ٥٥٠٠ واط الجهد: ٢٣٠ فولت الطور، التردد: أحادي، ٥٠/٦٠ هرتز طريقة التشغيل: كهربائية القدرة الحصانية: ٩.٠ حصان سعة خزان الوقود: ٧ لترات سعة زيت المحرك: ٠.٦ لتر مستوى الضوضاء: ٧٨.٥ ديسيبل عند ٧٥٪ المقبس: ١ × ١٣ أمبير، ١ × ٣٢ أمبير الوزن الصافي: ٣٠ كجم الأبعاد: ٤٥٥ مم × ٣٨٥ مم × ٤٨٥ مموقت التحضير 1 يوم185.000 د.ك+ أضف إلى السلة","AIpower Kuwait","مولدات","مولد انفيرتر","مولدات, مولد انفيرتر","TRUE","Active","AIP-15","","Title","Default Title","","","","","","","","","","","TRUE","","","","","","shopify","100","DENY","","g","TRUE","manual","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01766647677.jpeg","1","Mq7500 Oi مولد كهربائي عاكس ذو تشغيل بالمفتاح وقدرة بدء تشغيل قصوى 5500 واط","","FALSE","Mq7500 Oi مولد كهربائي عاكس ذو تشغيل بالمفتاح وقدرة بدء تشغيل قصوى 5500 واط","غير متوفرMQ7500-OI مولد كهربائي عاكس ذو تشغيل بالمفتاح وقدرة بدء تشغيل قصوى 5500 واطالقدرة المقدرة: ٥٠٠٠ واط أقصى قدرة بدء التشغيل: ٥٥٠٠ واط الجهد: ٢٣٠ فولت الطور، التردد: أحادي، ٥٠/٦٠ هرتز طريقة التشغيل: كهربائية القدرة الحصانية: ٩.٠ حصان سعة خزان الوقود: ٧ لترات سعة زيت المحرك: ٠.٦ لتر مستوى الضوضاء: ٧٨.٥ ديسيبل عند ","","","","","","مولد انفيرتر","مولدات","New","FALSE","","","","",""
"","mq7500-oi-مولد-كهربائي-عاكس-ذو-تشغيل-بالمفتاح-وقدرة-بدء-تشغيل-قصوى-5500-واط","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_11766647678.jpeg","2","Mq7500 Oi مولد كهربائي عاكس ذو تشغيل بالمفتاح وقدرة بدء تشغيل قصوى 5500 واط","","","","","","","","","","","","","","","","","",""
