id,name,categoryName,subCategoryName,price,currency,stockStatus,preparationTime,specifications,url,Image Src,Additional Images
"1179","Makute Gasoline Chainsaw Petrol Chainsaw Powered Chainsaw 2100w With 550ml Fuel Tank 20 Inch Bar For","Tools","Petrol","33.75","KWD","Out of Stock","1 Days","","https://aipowerkw.com/en/product/1179-makute-gasoline-chainsaw-petrol-chainsaw-powered-chainsaw-2100w-with-550ml-fuel-tank-20-inch-bar-for","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776462977.jpg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776463820.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776463862.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776463885.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776463906.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776463936.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776463961.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776464038.jpg"
"1188","Dca 12v 140nm Brushless Cordless Impact Driver Adpl04 8","Tools","Cordless","27","KWD","In Stock","1 Days","","https://aipowerkw.com/en/product/1188-dca-12v-140nm-brushless-cordless-impact-driver-adpl04-8","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776520527.jpg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776520593.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776520596.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776520601.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776520606.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776520611.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776520616.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776520626.jpg"
"1191","Dca 10 Inch 1800w Miter Saw 255mm Ajx09 255","Tools","Electric","54.75","KWD","In Stock","1 Days","","https://aipowerkw.com/en/product/1191-dca-10-inch-1800w-miter-saw-255mm-ajx09-255","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776532665.jpg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776532675.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776532685.jpg"
"1194","Dca Mini Air Pump 12v 8 3bar Adqe120","Tools","Cordless","25.5","KWD","In Stock","1 Days","","https://aipowerkw.com/en/product/1194-dca-mini-air-pump-12v-8-3bar-adqe120","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776544309.jpg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776544327.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776544338.jpg"
"1197","Dca 580w Jig Saw Kit %e2%80%93 High Performance Tool For Precision Cutting Amq85s","Tools","Electric","25.5","KWD","In Stock","1 Days","","https://aipowerkw.com/en/product/1197-dca-580w-jig-saw-kit-%E2%80%93-high-performance-tool-for-precision-cutting-amq85s","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776577780.jpg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776577784.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776577788.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776577794.jpg"
"1203","Dca 12v Cordless Brushless Die Grinder","Tools","Cordless","24","KWD","In Stock","1 Days","","https://aipowerkw.com/en/product/1203-dca-12v-cordless-brushless-die-grinder","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776605610.jpg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776605618.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776605626.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776605628.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776605633.jpg"
"1209","Dca Brushless 2 In 1 Cordless Blower And Vacuum Cleaner","Tools","Cordless","25.5","KWD","In Stock","1 Days","","https://aipowerkw.com/en/product/1209-dca-brushless-2-in-1-cordless-blower-and-vacuum-cleaner","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776687523.jpg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776687532.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776687539.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776687548.jpg"
"1092","Dca 1100w 7 1 4 Inch Electric Circular Saw 185mm Amy02 185","Tools","Electric","19.5","KWD","In Stock","1 Days","","https://aipowerkw.com/en/product/1092-dca-1100w-7-1-4-inch-electric-circular-saw-185mm-amy02-185","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776249295.jpg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776249351.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01776250049.jpg"
"672","Ingco 16 Pcs Drill Bits Set Hex Shank For Metal Masonry And Wood Drill","Accessories","","4","KWD","In Stock","1 Days","","https://aipowerkw.com/en/product/672-ingco-16-pcs-drill-bits-set-hex-shank-for-metal-masonry-and-wood-drill","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775193756.jpg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775193763.jpg,https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775193766.jpg"
"771","Ingco 5 Pcs Reciprocating Saw Blade Set Length 9 Inch 225 Mm For Cutting Wood With Nail","Accessories","","3.5","KWD","In Stock","1 Days","","https://aipowerkw.com/en/product/771-ingco-5-pcs-reciprocating-saw-blade-set-length-9-inch-225-mm-for-cutting-wood-with-nail","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775574147.jpg","https://ksacdn4.mnasaticdn.com/uploads/product_image/11013/product_01775574156.jpg"
